[2023-06-07 06:54:17.132 PM] error: 	error
[2023-06-07 06:54:17.135 PM] warn: 	warn
[2023-06-07 06:54:17.136 PM] info: 	info
[2023-06-07 06:54:17.136 PM] debug: 	debug
[2023-06-07 06:54:17.137 PM] error: 	error message
[2023-06-07 06:54:17.137 PM] info: 	info message
[2023-06-07 06:54:20.213 PM] info: 	Database connected successfully
[2023-06-07 06:55:29.302 PM] error: 	error message
[2023-06-07 06:55:29.305 PM] info: 	info message
[2023-06-07 06:55:32.047 PM] info: 	Database connected successfully
[2023-06-07 06:55:53.215 PM] error: 	tokeneyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2NDdlZmYyNTg3MzY1OTAwNWY4MzJiNjMiLCJpYXQiOjE2ODYxMzA2NTgsImV4cCI6MTY4NjE3Mzg1OH0.7SsFLf5TTJGdZUldMfjMDy_5pMGqpb2ZJ-IwFoE9fWo
[2023-06-07 06:55:53.452 PM] error: 	error in user post  User not found or deactivated
[2023-06-07 06:59:09.003 PM] error: 	error message
[2023-06-07 07:00:31.104 PM] error: 	error message
[2023-06-07 07:00:31.109 PM] info: 	info message
[2023-06-07 07:00:34.101 PM] info: 	Database connected successfully
[2023-06-07 07:02:05.315 PM] error: 	error message
[2023-06-07 07:02:05.319 PM] info: 	info message
[2023-06-07 07:02:08.391 PM] info: 	Database connected successfully
[2023-06-07 07:03:06.437 PM] error: 	error message
[2023-06-07 07:03:06.440 PM] info: 	info message
[2023-06-07 07:03:09.369 PM] info: 	Database connected successfully
[2023-06-07 07:04:08.473 PM] info: 	Database connected successfully
[2023-06-07 07:04:54.487 PM] info: 	Database connected successfully
[2023-06-07 07:06:04.313 PM] info: 	Database connected successfully
[2023-06-07 07:07:19.197 PM] info: 	Database connected successfully
[2023-06-07 07:07:54.018 PM] info: 	Database connected successfully
[2023-06-07 07:10:34.184 PM] info: 	Database connected successfully
[2023-06-07 07:11:45.789 PM] info: 	Database connected successfully
[2023-06-07 07:12:33.637 PM] info: 	Database connected successfully
[2023-06-07 07:14:32.233 PM] error: 	tokeneyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2NDdlZmYyNTg3MzY1OTAwNWY4MzJiNjMiLCJpYXQiOjE2ODYxMzA2NTgsImV4cCI6MTY4NjE3Mzg1OH0.7SsFLf5TTJGdZUldMfjMDy_5pMGqpb2ZJ-IwFoE9fWo
[2023-06-07 07:14:32.234 PM] error: 	error in user post  logger is not defined
[2023-06-07 07:15:45.458 PM] info: 	Database connected successfully
[2023-06-07 07:15:47.063 PM] error: 	tokeneyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2NDdlZmYyNTg3MzY1OTAwNWY4MzJiNjMiLCJpYXQiOjE2ODYxMzA2NTgsImV4cCI6MTY4NjE3Mzg1OH0.7SsFLf5TTJGdZUldMfjMDy_5pMGqpb2ZJ-IwFoE9fWo
[2023-06-07 07:15:47.065 PM] error: 	error in user post  logger is not defined
[2023-06-07 07:18:04.351 PM] info: 	Database connected successfully
[2023-06-07 07:19:06.131 PM] info: 	Database connected successfully
[2023-06-07 07:19:12.480 PM] info: 	Database connected successfully
[2023-06-07 07:19:22.521 PM] info: 	Database connected successfully
[2023-06-07 07:19:56.362 PM] info: 	Database connected successfully
[2023-06-07 07:20:12.626 PM] error: 	Cast to ObjectId failed for value "64803ef03bd31bdfsa7d0def" (type string) at path "_id" for model "Hotel"
[2023-06-07 07:20:24.316 PM] error: 	tokeneyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2NDdlZmYyNTg3MzY1OTAwNWY4MzJiNjMiLCJpYXQiOjE2ODYxMzA2NTgsImV4cCI6MTY4NjE3Mzg1OH0.7SsFLf5TTJGdZUldMfjMDy_5pMGqpb2ZJ-IwFoE9fWo
[2023-06-07 07:20:24.318 PM] error: 	error in user post  Cannot create property 'Symbol(level)' on string 'In Auth verifyToken '
[2023-06-07 07:20:43.587 PM] error: 	error in user post  Cannot create property 'Symbol(level)' on string 'In Auth login  '
