[2023-06-07 06:54:17.132 PM] error: 	error
[2023-06-07 06:54:17.137 PM] error: 	error message
[2023-06-07 06:55:29.302 PM] error: 	error message
[2023-06-07 06:55:53.215 PM] error: 	tokeneyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2NDdlZmYyNTg3MzY1OTAwNWY4MzJiNjMiLCJpYXQiOjE2ODYxMzA2NTgsImV4cCI6MTY4NjE3Mzg1OH0.7SsFLf5TTJGdZUldMfjMDy_5pMGqpb2ZJ-IwFoE9fWo
[2023-06-07 06:55:53.452 PM] error: 	error in user post  User not found or deactivated
[2023-06-07 06:59:09.003 PM] error: 	error message
[2023-06-07 07:00:31.104 PM] error: 	error message
[2023-06-07 07:02:05.315 PM] error: 	error message
[2023-06-07 07:03:06.437 PM] error: 	error message
[2023-06-07 07:14:32.233 PM] error: 	tokeneyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2NDdlZmYyNTg3MzY1OTAwNWY4MzJiNjMiLCJpYXQiOjE2ODYxMzA2NTgsImV4cCI6MTY4NjE3Mzg1OH0.7SsFLf5TTJGdZUldMfjMDy_5pMGqpb2ZJ-IwFoE9fWo
[2023-06-07 07:14:32.234 PM] error: 	error in user post  logger is not defined
[2023-06-07 07:15:47.063 PM] error: 	tokeneyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2NDdlZmYyNTg3MzY1OTAwNWY4MzJiNjMiLCJpYXQiOjE2ODYxMzA2NTgsImV4cCI6MTY4NjE3Mzg1OH0.7SsFLf5TTJGdZUldMfjMDy_5pMGqpb2ZJ-IwFoE9fWo
[2023-06-07 07:15:47.065 PM] error: 	error in user post  logger is not defined
[2023-06-07 07:20:12.626 PM] error: 	Cast to ObjectId failed for value "64803ef03bd31bdfsa7d0def" (type string) at path "_id" for model "Hotel"
[2023-06-07 07:20:24.316 PM] error: 	tokeneyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2NDdlZmYyNTg3MzY1OTAwNWY4MzJiNjMiLCJpYXQiOjE2ODYxMzA2NTgsImV4cCI6MTY4NjE3Mzg1OH0.7SsFLf5TTJGdZUldMfjMDy_5pMGqpb2ZJ-IwFoE9fWo
[2023-06-07 07:20:24.318 PM] error: 	error in user post  Cannot create property 'Symbol(level)' on string 'In Auth verifyToken '
[2023-06-07 07:20:43.587 PM] error: 	error in user post  Cannot create property 'Symbol(level)' on string 'In Auth login  '
